2026-07-27 16:41:55,826 | INFO | ecommerce | request_id=a8cef097-dece-417a-8246-9ea6ded95be8 method=POST path=/auth/refresh status=200 duration=0.211s
2026-07-27 16:42:16,753 | INFO | ecommerce | request_id=91a2cc41-4e33-41ca-a67d-568086065f5b method=DELETE path=/api/v1/cart/1 status=404 duration=0.017s
2026-07-27 16:42:48,029 | INFO | ecommerce | request_id=cd48a8b3-cd40-46e1-a782-57432f5131e3 method=DELETE path=/api/v1/cart/2 status=200 duration=0.026s
2026-07-27 16:43:08,406 | INFO | ecommerce | request_id=976f6d16-8faf-4fd6-9276-8ae75a9b0e16 method=DELETE path=/api/v1/cart/2 status=404 duration=0.005s
2026-07-27 16:43:49,314 | INFO | ecommerce | request_id=53c726ee-3a87-42af-855c-8b4f968f509e method=DELETE path=/api/v1/cart status=200 duration=0.008s
2026-07-27 21:28:30,676 | INFO | ecommerce | request_id=91d2d8cd-0c9d-41b2-9297-d228e28ee90d method=GET path=/docs status=200 duration=0.000s
2026-07-27 21:28:31,315 | INFO | ecommerce | request_id=e4673266-0ee2-4823-b4cd-29355448fe76 method=GET path=/openapi.json status=200 duration=0.118s
2026-07-27 21:31:20,656 | INFO | ecommerce | request_id=803fe96e-b14b-43f2-9018-a332ea4248b3 method=POST path=/auth/login status=200 duration=0.243s
2026-07-27 21:32:52,727 | INFO | ecommerce | request_id=81a93d30-ed02-4ec2-a928-a8b0867c1d9f method=POST path=/api/v1/cart status=200 duration=0.109s
2026-07-27 21:35:13,632 | INFO | ecommerce | request_id=b75b632c-e7cd-4f87-b87f-1ccc614a2b33 method=POST path=/api/v1/orders status=200 duration=0.280s
2026-07-27 21:43:29,207 | INFO | ecommerce | request_id=57f1c23e-1ef5-4f55-9f6a-ff78f72e2823 method=GET path=/api/v1/orders status=401 duration=0.061s
2026-07-27 21:43:39,178 | INFO | ecommerce | request_id=414a6a58-65ad-4969-a572-b36c353ba643 method=POST path=/auth/login status=200 duration=0.170s
2026-07-27 21:43:58,748 | INFO | ecommerce | request_id=245bdd2e-64ff-47e3-a169-7daf9edafb33 method=GET path=/api/v1/orders status=200 duration=0.025s
2026-07-27 21:44:52,406 | INFO | ecommerce | request_id=b74427e0-fcbb-4080-9804-c6fb8bf890f9 method=GET path=/api/v1/orders/1 status=200 duration=0.016s
2026-07-27 21:50:15,990 | INFO | ecommerce | request_id=c575359c-5f07-4018-a340-84dbb7bba5b4 method=PATCH path=/api/v1/orders/1/status status=200 duration=0.222s
2026-07-28 08:44:46,491 | INFO | ecommerce | request_id=904df5e6-6607-45de-b35e-915533425feb method=GET path=/ status=200 duration=0.097s
2026-07-28 08:44:55,444 | INFO | ecommerce | request_id=b3905aef-888e-4b19-b8ae-27e22e5245eb method=GET path=/docs status=200 duration=0.000s
2026-07-28 08:44:55,754 | INFO | ecommerce | request_id=b6befa45-ab39-4085-bd3a-001acec77c35 method=GET path=/openapi.json status=200 duration=0.124s
2026-07-28 08:46:10,278 | INFO | ecommerce | request_id=135c9ffe-0475-49da-81ad-ce7e928a31ab method=POST path=/auth/login status=200 duration=0.332s
2026-07-28 08:46:45,667 | INFO | ecommerce | request_id=de4eb39e-2387-405e-9988-37243d8e3479 method=GET path=/products/all status=200 duration=0.049s
2026-07-28 08:46:56,366 | INFO | ecommerce | request_id=05948680-22e8-42ec-9983-d69ac4e51486 method=GET path=/api/v1/cart status=200 duration=0.043s
2026-07-28 08:48:40,686 | INFO | ecommerce | request_id=c6cfdd62-44fd-4269-95e3-cc5297b2b759 method=POST path=/api/v1/cart status=200 duration=0.056s
2026-07-28 08:49:51,477 | INFO | ecommerce | request_id=3f034c2c-d90b-4c5f-80fb-84db321713b5 method=POST path=/api/v1/cart status=200 duration=0.029s
2026-07-28 08:51:14,643 | INFO | ecommerce | request_id=50d6b376-b013-4478-aac6-6386c7d60f5b method=GET path=/api/v1/orders status=200 duration=0.033s
2026-07-28 08:51:43,434 | INFO | ecommerce | request_id=4464a725-3b89-4aa2-a5bc-61d766358444 method=POST path=/api/v1/orders status=200 duration=0.062s
2026-07-28 08:52:27,594 | INFO | ecommerce | request_id=e57bf2a0-c09e-4bca-b960-bf2d820bb810 method=GET path=/api/v1/orders/2 status=200 duration=0.011s
2026-07-28 08:52:55,540 | INFO | ecommerce | request_id=767283a1-3e0b-4a3c-868b-54995c7730e7 method=DELETE path=/api/v1/cart status=200 duration=0.013s
2026-07-28 08:53:23,794 | INFO | ecommerce | request_id=6b1ca65d-7f02-4472-be21-0363f41ef020 method=GET path=/api/v1/orders status=200 duration=0.008s
2026-07-28 08:53:35,637 | INFO | ecommerce | request_id=6971c953-13ae-4d2b-9ae6-d23788c6e1e7 method=GET path=/api/v1/orders/2 status=200 duration=0.006s
2026-07-28 08:54:53,175 | INFO | ecommerce | request_id=f122f377-5e9c-4d59-9b14-db700f61f9fa method=GET path=/api/v1/cart status=200 duration=0.007s
2026-07-28 08:55:08,226 | INFO | ecommerce | request_id=dfe4c915-bfd9-4a4b-8274-e57c60bec636 method=POST path=/api/v1/orders status=400 duration=0.010s
2026-07-28 13:52:34,112 | INFO | ecommerce | request_id=4021b452-2c5b-4053-86fd-f75379d37a56 method=GET path=/ status=200 duration=0.059s
2026-07-28 13:52:50,839 | INFO | ecommerce | request_id=5f02dbc5-df8c-4f2d-b276-0b5aafa6999f method=GET path=/docs status=200 duration=0.000s
2026-07-28 13:52:51,044 | INFO | ecommerce | request_id=71b29ae7-999b-4e78-81cf-b2f68585b3a6 method=GET path=/openapi.json status=200 duration=0.084s
2026-07-28 20:58:00,876 | INFO | ecommerce | request_id=36c3de0b-fbe9-4a4a-9cdc-a4a83e6c43c5 method=GET path=/docs status=200 duration=0.001s
2026-07-28 20:58:01,401 | INFO | ecommerce | request_id=af54eb21-d784-4cfa-bc81-e2d57999dd04 method=GET path=/openapi.json status=200 duration=0.275s
2026-07-28 20:59:31,115 | INFO | ecommerce | request_id=01cd80d6-f51e-4682-8316-cb4935e70c77 method=GET path=/ status=200 duration=0.106s
2026-07-28 20:59:51,953 | INFO | ecommerce | request_id=a999be71-3514-4b29-9258-02ba24414031 method=GET path=/docs status=200 duration=0.001s
2026-07-28 20:59:52,442 | INFO | ecommerce | request_id=8dccbf7d-440f-4c96-a7fe-855b8b716a05 method=GET path=/openapi.json status=200 duration=0.188s
2026-07-28 21:00:54,886 | INFO | ecommerce | request_id=75af8352-d10e-4d19-82c6-d2ba2472c414 method=GET path=/docs status=200 duration=0.001s
2026-07-28 21:00:55,406 | INFO | ecommerce | request_id=79aba6b4-4e7e-4585-8599-57182e6cb232 method=GET path=/openapi.json status=200 duration=0.381s
2026-07-28 21:02:15,254 | INFO | ecommerce | request_id=5474af92-9f64-4bce-85ae-8964bd42994d method=GET path=/docs status=200 duration=0.001s
2026-07-28 21:02:15,939 | INFO | ecommerce | request_id=19f56622-634b-4a8b-a880-05d70d43267e method=GET path=/openapi.json status=200 duration=0.481s
2026-07-28 21:03:44,441 | INFO | ecommerce | request_id=267fce7e-7c37-4d9c-a657-de491f96b058 method=POST path=/auth/login status=200 duration=0.602s
2026-07-28 21:04:24,195 | INFO | ecommerce | request_id=6eb56594-4077-4504-ac92-b87683e353f2 method=POST path=/api/v1/cart status=400 duration=0.037s
2026-07-28 21:05:29,028 | INFO | ecommerce | request_id=125802f6-ab6b-4deb-b1c0-763e816f3586 method=POST path=/api/v1/cart status=200 duration=0.066s
2026-07-28 21:06:25,724 | INFO | ecommerce | request_id=b8fe5973-18ce-4734-8fdd-5ff273408c7b method=POST path=/api/v1/orders status=200 duration=0.101s
